id,team,player,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-
202012230BOS,MIL,Jrue Holiday,8:44,1,2,.500,1,2,.500,2,2,1.000,0,1,1,1,1,0,0,0,5,+7
202012230BOS,MIL,Khris Middleton,12:00,3,5,.600,2,3,.667,2,2,1.000,0,2,2,2,0,0,0,1,10,+16
202012230BOS,MIL,Giannis Antetokounmpo,12:00,7,10,.700,2,4,.500,2,3,.667,0,4,4,1,0,0,1,2,18,+16
202012230BOS,MIL,Brook Lopez,10:44,1,1,1.000,0,0,,0,0,,2,1,3,0,0,2,0,1,2,+17
202012230BOS,MIL,Donte DiVincenzo,8:04,1,3,.333,0,0,,0,0,,1,1,2,1,0,0,0,0,2,+8
202012230BOS,MIL,Pat Connaughton,5:12,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,+7
202012230BOS,MIL,Bryn Forbes,3:16,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+9
202012230BOS,BOS,Marcus Smart,9:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-10
202012230BOS,BOS,Jaylen Brown,8:44,4,7,.571,0,1,.000,0,0,,0,0,0,0,0,0,0,2,8,-7
202012230BOS,BOS,Jayson Tatum,9:51,4,9,.444,1,3,.333,0,0,,0,2,2,0,0,0,0,1,9,-8
202012230BOS,BOS,Daniel Theis,6:28,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-1
202012230BOS,BOS,Tristan Thompson,3:30,1,3,.333,0,0,,0,0,,2,0,2,0,0,0,0,2,2,-13
202012230BOS,BOS,Jeff Teague,7:26,0,2,.000,0,0,,0,0,,0,0,0,0,0,1,0,0,0,-12
202012230BOS,BOS,Semi Ojeleye,5:01,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-3
202012230BOS,BOS,Grant Williams,4:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-14
202012230BOS,BOS,Payton Pritchard,3:16,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-9
202012230BOS,BOS,Robert Williams,2:02,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,1,1,2,-3
