id,team,player,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-
202012230BOS,MIL,Jrue Holiday,10:43,2,3,.667,0,1,.000,0,0,,0,1,1,1,0,0,0,0,4,+9
202012230BOS,MIL,Khris Middleton,9:58,2,5,.400,0,3,.000,1,1,1.000,0,6,6,5,0,0,0,1,5,+6
202012230BOS,MIL,Giannis Antetokounmpo,8:20,2,4,.500,0,2,.000,0,0,,0,0,0,0,0,0,2,0,4,-7
202012230BOS,MIL,Brook Lopez,5:53,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,5,+4
202012230BOS,MIL,Donte DiVincenzo,6:14,3,3,1.000,2,2,1.000,0,0,,0,1,1,2,1,0,0,0,8,+2
202012230BOS,MIL,Pat Connaughton,5:46,2,2,1.000,2,2,1.000,0,0,,0,0,0,0,0,0,1,0,6,+1
202012230BOS,MIL,Bobby Portis,4:50,1,3,.333,0,0,,0,0,,1,2,3,1,0,0,0,0,2,+5
202012230BOS,MIL,Bryn Forbes,2:02,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-3
202012230BOS,MIL,D.J. Wilson,4:57,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,0,1,0,0,+4
202012230BOS,MIL,Sam Merrill,1:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
202012230BOS,BOS,Marcus Smart,9:58,0,2,.000,0,2,.000,2,2,1.000,0,0,0,3,0,0,0,1,2,-6
202012230BOS,BOS,Jaylen Brown,9:58,2,7,.286,0,3,.000,0,0,,0,3,3,2,0,0,0,0,4,-6
202012230BOS,BOS,Jayson Tatum,7:55,2,7,.286,2,3,.667,0,0,,0,3,3,1,0,0,1,0,6,-1
202012230BOS,BOS,Daniel Theis,7:03,2,3,.667,2,3,.667,0,0,,0,0,0,1,0,0,0,0,6,+1
202012230BOS,BOS,Tristan Thompson,5:53,2,2,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,4,-4
202012230BOS,BOS,Jeff Teague,6:07,2,4,.500,2,2,1.000,0,0,,0,0,0,1,1,0,0,0,6,+1
202012230BOS,BOS,Grant Williams,6:07,1,2,.500,1,2,.500,0,0,,0,1,1,1,1,0,0,1,3,+1
202012230BOS,BOS,Payton Pritchard,2:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+3
202012230BOS,BOS,Robert Williams,4:57,0,0,,0,0,,0,0,,2,1,3,0,0,0,0,0,0,-4
